question_id,stem,solution,answer,skill_id,skill_name,difficulty,qtype,source,version,is_active,parse_category
b50343f41ae56f2bff9a633b56ffd948,一個長方形長8公尺、寬5公尺，求面積。,"好的，讓我們一步步解決這個問題。

我們需要找出一個長方形的面積，這個長方形的長度為 8 公尺，寬度為 5 公尺。

### 步驟 1：了解面積的公式
長方形的面積可以用以下公式計算：
\[ \text{面積} = \text{長} \times \text{寬} \]

### 步驟 2：將長和寬代入公式
在我們這個問題中：
- 長 = 8 公尺
- 寬 = 5 公尺

因此，我們可以將數字代入面積公式：
\[ \text{面積} = 8 \, \text{公尺} \times 5 \, \text{公尺} \]

### 步驟 3：計算面積
現在，我們進行計算：
\[ \text{面積} = 8 \times 5 = 40 \, \text{平方公尺} \]

### 步驟 4：得出結論
所以，這個長方形的面積是 **40 平方公尺**。

總結來說，這個問題的解答是：長方形的面積為 **40 平方公尺**。",,SK_AREA,Area,3,draft,answers.db,1,1,json_answer
ab61091e0c608a7c76c09902a718917b,"一個三方形高
8公尺、底5公尺，求面積。","好的！我們來解題。根據題目，我們需要計算一個三角形的面積，已知這個三角形的高為 8 公尺，底為 5 公尺。根據提供的資料，我們知道三角形的面積可以用以下公式計算：

### 三角形面積公式
\[
面積 = \frac{底 \times 高}{2}
\]

### 解題步驟

1. **確定底和高**：
   - 已知底 = 5 公尺
   - 已知高 = 8 公尺

2. **代入公式**：
   根據上面的公式，我們將底和高帶入計算：
   \[
   面積 = \frac{5 \, \text{公尺} \times 8 \, \text{公尺}}{2}
   \]

3. **計算底與高的乘積**：
   \[
   5 \times 8 = 40
   \]

4. **除以 2**：
   \[
   面積 = \frac{40}{2} = 20 \, \text{平方公尺}
   \]

### 最終結果
因此，這個三角形的面積是 **20 平方公尺**。

如果有其他任何問題或需要進一步的例題解說，請隨時告訴我！",,SK_AREA,Area,3,draft,answers.db,1,1,json_answer
e30526bae2a17baa8f222fe9bad82cf9,**題目**  小明的書箱有 2.8 公升水果醋，他準備將水果醋灌入瓶子，每瓶的容量是 0.4 公升。如果他裝滿了幾瓶呢？,"好的，讓我們一步一步來解答這個有關水果醋的問題：

### 題目
小明的書箱有 2.8 公升水果醋，他準備將水果醋灌入瓶子，每瓶的容量是 0.4 公升。如果他裝滿了幾瓶呢？

### 解答步驟

1. **確認問題的需求：**
   我們需要知道小明可以裝滿多少瓶，每瓶的容量是 0.4 公升，而他總共有 2.8 公升的水果醋。

2. **計算裝滿的瓶數：**
   要計算小明可以裝滿多少瓶，我們可以用總水果醋的容量除以每瓶的容量：

   \[
   \text{裝滿的瓶數} = \frac{\text{總容量}}{\text{每瓶容量}} = \frac{2.8 \text{ 公升}}{0.4 \text{ 公升}}
   \]

3. **進行除法計算：**
   先算出 2.8 除以 0.4，這可以轉換成相同的單位以便計算：

   \[
   2.8 \div 0.4 = 7
   \]

   这里可以更直观的理解为：

   - 先将 2.8 和 0.4 转换为整数，即 28 和 4。
   - 然后进行计算：28 除以 4 等于 7。

4. **得出最終答案：**
   所以小明可以裝滿 7 瓶水果醋。

### 總結
最終的答案是，小明可以裝滿 **7 瓶** 水果醋。",,SK_MISC,Misc,3,draft,answers.db,1,1,json_answer
auto_5_1,**題目**  小明的書箱有 2.8 公升水果醋，他準備將水果醋灌入瓶子，每瓶的容量是 0.4 公升。如果他裝滿了幾瓶呢？,"好的，讓我們一步一步來解答這個有關水果醋的問題：

### 題目
小明的書箱有 2.8 公升水果醋，他準備將水果醋灌入瓶子，每瓶的容量是 0.4 公升。如果他裝滿了幾瓶呢？

### 解答步驟

1. **確認問題的需求：**
   我們需要知道小明可以裝滿多少瓶，每瓶的容量是 0.4 公升，而他總共有 2.8 公升的水果醋。

2. **計算裝滿的瓶數：**
   要計算小明可以裝滿多少瓶，我們可以用總水果醋的容量除以每瓶的容量：

   \[
   \text{裝滿的瓶數} = \frac{\text{總容量}}{\text{每瓶容量}} = \frac{2.8 \text{ 公升}}{0.4 \text{ 公升}}
   \]

3. **進行除法計算：**
   先算出 2.8 除以 0.4，這可以轉換成相同的單位以便計算：

   \[
   2.8 \div 0.4 = 7
   \]

   这里可以更直观的理解为：

   - 先将 2.8 和 0.4 转换为整数，即 28 和 4。
   - 然后进行计算：28 除以 4 等于 7。

4. **得出最終答案：**
   所以小明可以裝滿 7 瓶水果醋。

### 總結
最終的答案是，小明可以裝滿 **7 瓶** 水果醋。",,SK_MISC,Misc,3,draft,answers.db,1,1,text
9ecc6477f7755e0554ee8648284d3eee,某車子從台北開往新竹，平均每小時60公里，在路上遇到下雨時，每小時只有40公里，若不考慮休息時間，台北至新竹的車程各需幾小時？,"為了解這個問題，我們先來分析題目：

已知：
- 車子從台北開往新竹的平均速度為60公里/小時。
- 在遇到下雨時，車子的速度減少為40公里/小時。

我們假設台北至新竹的總距離為D公里，這是我們需要計算的值。接著，我們需要計算在正常行駛和有下雨時的車程所需的時間。

### 步驟一：設置距離公式
首先，我們知道速度、時間和距離之間的關係為：
\[ 距離 = 速度 \times 時間 \]

### 步驟二：用60公里/小時和40公里/小時分別計算時間
- 假設在正常情況下（60公里/小時）行駛的時間為 \( t_1 \) 小時。
- 假設在遇到下雨情況下（40公里/小時）行駛的時間為 \( t_2 \) 小時。

那麼我們可以得到：
1. 正常情況下的距離： \( D = 60 \times t_1 \)
2. 下雨情況下的距離： \( D = 40 \times t_2 \)

### 步驟三：假設在兩種情況下的距離相等
由於都為同一條路徑，我們可設定它們相等：
\[ 60 \times t_1 = 40 \times t_2 \]

### 步驟四：選擇適當的數據進行計算
假設我們在正常情況下的行駛時間 \( t_1 \) 是2小時，這樣下雨情況下的時間 \( t_2 \) 可以利用上面的公式來計算：
\[ 60 \times 2 = 40 \times t_2 \]
\[ 120 = 40 \times t_2 \]
解這個式子：
\[ t_2 = \frac{120}{40} = 3 \text{ 小時} \]

### 結論
如果車子在正常情況下行駛2小時，那麼行駛的距離為：
\[ D = 60 \times 2 = 120 \text{ 公里} \]

在下雨的情況下，車子行駛這段距離需要3小時。

因此，從台北到新竹的車程如下：
- 正常行駛時間：2小時
- 遇到下雨時的行駛時間：3小時

如果需要再計算總距離D或其他細節，則可以根據具體情況進行更深入的探討。",,SK_RATE,Rate/Speed,4,draft,answers.db,1,1,json_answer
auto_5_2,某車子從台北開往新竹，平均每小時60公里，在路上遇到下雨時，每小時只有40公里，若不考慮休息時間，台北至新竹的車程各需幾小時？,"為了解這個問題，我們先來分析題目：

已知：
- 車子從台北開往新竹的平均速度為60公里/小時。
- 在遇到下雨時，車子的速度減少為40公里/小時。

我們假設台北至新竹的總距離為D公里，這是我們需要計算的值。接著，我們需要計算在正常行駛和有下雨時的車程所需的時間。

### 步驟一：設置距離公式
首先，我們知道速度、時間和距離之間的關係為：
\[ 距離 = 速度 \times 時間 \]

### 步驟二：用60公里/小時和40公里/小時分別計算時間
- 假設在正常情況下（60公里/小時）行駛的時間為 \( t_1 \) 小時。
- 假設在遇到下雨情況下（40公里/小時）行駛的時間為 \( t_2 \) 小時。

那麼我們可以得到：
1. 正常情況下的距離： \( D = 60 \times t_1 \)
2. 下雨情況下的距離： \( D = 40 \times t_2 \)

### 步驟三：假設在兩種情況下的距離相等
由於都為同一條路徑，我們可設定它們相等：
\[ 60 \times t_1 = 40 \times t_2 \]

### 步驟四：選擇適當的數據進行計算
假設我們在正常情況下的行駛時間 \( t_1 \) 是2小時，這樣下雨情況下的時間 \( t_2 \) 可以利用上面的公式來計算：
\[ 60 \times 2 = 40 \times t_2 \]
\[ 120 = 40 \times t_2 \]
解這個式子：
\[ t_2 = \frac{120}{40} = 3 \text{ 小時} \]

### 結論
如果車子在正常情況下行駛2小時，那麼行駛的距離為：
\[ D = 60 \times 2 = 120 \text{ 公里} \]

在下雨的情況下，車子行駛這段距離需要3小時。

因此，從台北到新竹的車程如下：
- 正常行駛時間：2小時
- 遇到下雨時的行駛時間：3小時

如果需要再計算總距離D或其他細節，則可以根據具體情況進行更深入的探討。",,SK_RATE,Rate/Speed,4,draft,answers.db,1,1,text
80c907a95167cd896260a277b183a9ae,阿明有 15 個同事去參加會議，他們每人帶一個書包，另外還有一個大書箱和兩個小書袋。請問在一起時，總共有幾袋書包?,"我們來逐步解決這個問題：

**題目**：阿明有 15 個同事去參加會議，他們每人帶一個書包，另外還有一個大書箱和兩個小書袋。請問在一起時，總共有幾袋書包?

**解題步驟**：

1. **計算同事帶的書包數量**：
   - 每位同事帶一個書包，阿明有 15 個同事。
   - 因此，總共的書包數量是：
     \[
     15 \text{ (同事)} \times 1 \text{ (書包/人)} = 15 \text{ (書包)}
     \]

2. **計算大書箱的書包數量**：
   - 題目中提到只有一個大書箱，並沒有提及這個大書箱會增加書包的數量，故我們不需要將它計入書包的數量。

3. **計算小書袋的數量**：
   - 每人帶兩個小書袋，阿明有 15 個同事，所以小書袋的數量為：
     \[
     15 \text{ (同事)} \times 2 \text{ (小書袋/人)} = 30 \text{ (小書袋)}
     \]

4. **總結一下所有的書包和書袋**：
   - 我們已經知道同事帶了 15 個書包，還有 30 個小書袋。
   - 因此，總的書包和書袋數量是：
     \[
     15 \text{ (書包)} + 30 \text{ (小書袋)} = 45 \text{ (包)}
     \]

5. **結論**：
   - 所以，阿明和他的同事們在一起時，總共有 45 袋書包。

**最終答案**：總共有 45 袋書包。",,SK_MISC,Misc,3,draft,answers.db,1,1,json_answer
auto_5_3,阿明有 15 個同事去參加會議，他們每人帶一個書包，另外還有一個大書箱和兩個小書袋。請問在一起時，總共有幾袋書包?,"我們來逐步解決這個問題：

**題目**：阿明有 15 個同事去參加會議，他們每人帶一個書包，另外還有一個大書箱和兩個小書袋。請問在一起時，總共有幾袋書包?

**解題步驟**：

1. **計算同事帶的書包數量**：
   - 每位同事帶一個書包，阿明有 15 個同事。
   - 因此，總共的書包數量是：
     \[
     15 \text{ (同事)} \times 1 \text{ (書包/人)} = 15 \text{ (書包)}
     \]

2. **計算大書箱的書包數量**：
   - 題目中提到只有一個大書箱，並沒有提及這個大書箱會增加書包的數量，故我們不需要將它計入書包的數量。

3. **計算小書袋的數量**：
   - 每人帶兩個小書袋，阿明有 15 個同事，所以小書袋的數量為：
     \[
     15 \text{ (同事)} \times 2 \text{ (小書袋/人)} = 30 \text{ (小書袋)}
     \]

4. **總結一下所有的書包和書袋**：
   - 我們已經知道同事帶了 15 個書包，還有 30 個小書袋。
   - 因此，總的書包和書袋數量是：
     \[
     15 \text{ (書包)} + 30 \text{ (小書袋)} = 45 \text{ (包)}
     \]

5. **結論**：
   - 所以，阿明和他的同事們在一起時，總共有 45 袋書包。

**最終答案**：總共有 45 袋書包。",,SK_MISC,Misc,3,draft,answers.db,1,1,text
2d0bdcfe4c80a6fe1b0131df9324a8b7,在 1.8 個蛋糕中，共有 6 個小餅乾，每個小餅乾的重量為 0.2 公克。當然，一個完整的蛋糕重 0.5 公斤。如果將這些小餅乾拿掉後，再整袋蛋糕的重量就是多少公斤？  注意：一公斤等於 1000 公克,"好的，讓我們一步步解決這個問題。

### 題目：在 1.8 個蛋糕中，共有 6 個小餅乾，每個小餅乾的重量為 0.2 公克。當然，一個完整的蛋糕重 0.5 公斤。如果將這些小餅乾拿掉後，再整袋蛋糕的重量就是多少公斤？

### 步驟 1：計算蛋糕的總重量
首先，我們知道每個蛋糕重 0.5 公斤，而我們有 1.8 個蛋糕。

1.8 個蛋糕的重量計算如下：
\[
1.8 \text{ 個蛋糕} \times 0.5 \text{ 公斤/個蛋糕} = 0.9 \text{ 公斤}
\]

### 步驟 2：計算小餅乾的總重量
接下來，我們知道有 6 個小餅乾，每個小餅乾的重量為 0.2 公克。首先，計算小餅乾的總重量：
\[
6 \text{ 個小餅乾} \times 0.2 \text{ 公克/個} = 1.2 \text{ 公克}
\]

### 步驟 3：將小餅乾的重量轉換成公斤
因為我們希望最終的結果使用公斤來表示，所以需要將小餅乾的重量由公克轉換為公斤。我們知道 1 公斤 = 1000 公克，因此：
\[
1.2 \text{ 公克} = \frac{1.2}{1000} \text{ 公斤} = 0.0012 \text{ 公斤}
\]

### 步驟 4：計算拿掉小餅乾後的蛋糕重量
現在，我們有了蛋糕的總重量和小餅乾的重量，接下來計算拿掉小餅乾後的總重量：
\[
0.9 \text{ 公斤} - 0.0012 \text{ 公斤} = 0.8988 \text{ 公斤}
\]

### 結論
所以，當把小餅乾拿掉後，整袋蛋糕的重量是 **0.8988 公斤**。

### 總結
1. 計算蛋糕的總重量：0.9 公斤
2. 計算小餅乾的總重量：1.2 公克 (0.0012 公斤)
3. 拿掉小餅乾後的重量：0.8988 公斤

這就是我們的完整解答!",,SK_MISC,Misc,3,draft,answers.db,1,1,json_answer
auto_5_4,在 1.8 個蛋糕中，共有 6 個小餅乾，每個小餅乾的重量為 0.2 公克。當然，一個完整的蛋糕重 0.5 公斤。如果將這些小餅乾拿掉後，再整袋蛋糕的重量就是多少公斤？  注意：一公斤等於 1000 公克,"好的，讓我們一步步解決這個問題。

### 題目：在 1.8 個蛋糕中，共有 6 個小餅乾，每個小餅乾的重量為 0.2 公克。當然，一個完整的蛋糕重 0.5 公斤。如果將這些小餅乾拿掉後，再整袋蛋糕的重量就是多少公斤？

### 步驟 1：計算蛋糕的總重量
首先，我們知道每個蛋糕重 0.5 公斤，而我們有 1.8 個蛋糕。

1.8 個蛋糕的重量計算如下：
\[
1.8 \text{ 個蛋糕} \times 0.5 \text{ 公斤/個蛋糕} = 0.9 \text{ 公斤}
\]

### 步驟 2：計算小餅乾的總重量
接下來，我們知道有 6 個小餅乾，每個小餅乾的重量為 0.2 公克。首先，計算小餅乾的總重量：
\[
6 \text{ 個小餅乾} \times 0.2 \text{ 公克/個} = 1.2 \text{ 公克}
\]

### 步驟 3：將小餅乾的重量轉換成公斤
因為我們希望最終的結果使用公斤來表示，所以需要將小餅乾的重量由公克轉換為公斤。我們知道 1 公斤 = 1000 公克，因此：
\[
1.2 \text{ 公克} = \frac{1.2}{1000} \text{ 公斤} = 0.0012 \text{ 公斤}
\]

### 步驟 4：計算拿掉小餅乾後的蛋糕重量
現在，我們有了蛋糕的總重量和小餅乾的重量，接下來計算拿掉小餅乾後的總重量：
\[
0.9 \text{ 公斤} - 0.0012 \text{ 公斤} = 0.8988 \text{ 公斤}
\]

### 結論
所以，當把小餅乾拿掉後，整袋蛋糕的重量是 **0.8988 公斤**。

### 總結
1. 計算蛋糕的總重量：0.9 公斤
2. 計算小餅乾的總重量：1.2 公克 (0.0012 公斤)
3. 拿掉小餅乾後的重量：0.8988 公斤

這就是我們的完整解答!",,SK_MISC,Misc,3,draft,answers.db,1,1,text
18ef0ea26c07e089d7c3b701c6ecf4a3,已知 3/4 + 1/6 = ?      (提示：共同的分母為12),"好的，我們來逐步解答題目：已知 \( \frac{3}{4} + \frac{1}{6} = ? \)。

### 第一步：找共同的分母
我們需要將兩個分數通分，以便能夠相加。給定的提示告訴我們，共同的分母為 12。

- \( \frac{3}{4} \) 與 \( \frac{1}{6} \) 的分母分別是 4 和 6。
- 最小公倍數 (LCM) 是 12。

### 第二步：通分
現在我們要把每個分數通分到分母為 12 的形式。

1. **通分 \( \frac{3}{4} \)**：
   - 將分母 4 變成 12，需乘以 3。
   - 同時，分子也乘以 3。
   - 所以，\( \frac{3}{4} = \frac{3 \times 3}{4 \times 3} = \frac{9}{12} \)。

2. **通分 \( \frac{1}{6} \)**：
   - 將分母 6 變成 12，需乘以 2。
   - 同時，分子也乘以 2。
   - 所以，\( \frac{1}{6} = \frac{1 \times 2}{6 \times 2} = \frac{2}{12} \)。

### 第三步：相加
現在我們可以將通分後的兩個分數相加：
\[
\frac{9}{12} + \frac{2}{12} = \frac{9 + 2}{12} = \frac{11}{12}
\]

### 最後的答案
因此， \( \frac{3}{4} + \frac{1}{6} = \frac{11}{12} \)。

這就是題目的完整解答步驟！",,SK_FRACTION,Fractions,3,draft,answers.db,1,1,json_answer
auto_5_5,已知 3/4 + 1/6 = ?      (提示：共同的分母為12),"好的，我們來逐步解答題目：已知 \( \frac{3}{4} + \frac{1}{6} = ? \)。

### 第一步：找共同的分母
我們需要將兩個分數通分，以便能夠相加。給定的提示告訴我們，共同的分母為 12。

- \( \frac{3}{4} \) 與 \( \frac{1}{6} \) 的分母分別是 4 和 6。
- 最小公倍數 (LCM) 是 12。

### 第二步：通分
現在我們要把每個分數通分到分母為 12 的形式。

1. **通分 \( \frac{3}{4} \)**：
   - 將分母 4 變成 12，需乘以 3。
   - 同時，分子也乘以 3。
   - 所以，\( \frac{3}{4} = \frac{3 \times 3}{4 \times 3} = \frac{9}{12} \)。

2. **通分 \( \frac{1}{6} \)**：
   - 將分母 6 變成 12，需乘以 2。
   - 同時，分子也乘以 2。
   - 所以，\( \frac{1}{6} = \frac{1 \times 2}{6 \times 2} = \frac{2}{12} \)。

### 第三步：相加
現在我們可以將通分後的兩個分數相加：
\[
\frac{9}{12} + \frac{2}{12} = \frac{9 + 2}{12} = \frac{11}{12}
\]

### 最後的答案
因此， \( \frac{3}{4} + \frac{1}{6} = \frac{11}{12} \)。

這就是題目的完整解答步驟！",,SK_FRACTION,Fractions,3,draft,answers.db,1,1,text
319c4ef9d4d5451c15e8e0a7db394dc7,有一個直角三角形，它的短腿長 4 厘米，底邊長 3 厘米。問下列哪一個是正確的幾何判斷？  A. 直角三角形 B. 值班三角形 C. 是等腰三角形 D. 只有一個內角大於 90 度,"### 解題步驟：

1. **理解題目**：
   題目是要判斷一個直角三角形的性質。給出的是短腿長 4 厘米和底邊長 3 厘米。

2. **確認三角形的類型**：
   我們知道三角形有幾種類型：
   - 直角三角形：一個內角是 90°。
   - 鈍角三角形：一個內角大於 90°。
   - 鋭角三角形：所有內角都小於 90°。
   - 等腰三角形：至少有兩邊相等。

3. **使用三角形的性質**：
   學生已經知道直角三角形的定義。所以確認給出的長度是否合理。

4. **檢查邊長是否符合直角三角形的定義**：
   在一個直角三角形中，短腿和底邊對應於兩個直角邊。我們需要確認這是一個直角三角形：
   - 假設短腿是 \( a = 4 \) 厘米，底邊是 \( b = 3 \) 厘米，假設斜邊是 \( c \)。
   - 通過畢氏定理來計算斜邊的長度：
     \[ c^2 = a^2 + b^2 \]
     \[ c^2 = 4^2 + 3^2 \]
     \[ c^2 = 16 + 9 \]
     \[ c^2 = 25 \]
     \[ c = \sqrt{25} = 5 \]

   因此，這個三角形的邊長是 3、4、5，符合直角三角形的比例。

5. **檢查選項**：
   - **A. 直角三角形**：根據以上計算，這確實是一個直角三角形。
   - **B. 值班三角形**：這是不正確的。三角形的內角和必須為 180°，分配多於 90° 的內角是不可能的。
   - **C. 是等腰三角形**：這不正確，因為三角形的三邊長不相等。
   - **D. 只有一個內角大於 90 度**：這也是不正確的，因為這是一個直角三角形，所以只有一個內角等於 90 度，其他兩個角都是小於 90 度的。

### 結論：
因此，正確的答案是 **A. 直角三角形**。",,SK_GEOM,Geometry,3,draft,answers.db,1,1,json_answer
